id,name,lat,lon,departure,arrival
308,Seeley Ave & Roscoe St,41.943403,-87.679618,23.0,21.0
309,Leavitt St & Armitage Ave,41.917805,-87.682437,49.0,47.0
310,Damen Ave & Charleston St,41.920082,-87.677855,202.0,181.0
311,Leavitt St & Lawrence Ave,41.968885,-87.684001,40.0,42.0
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,113.0,101.0
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,23.0,22.0
314,Ravenswood Ave & Berteau Ave,41.957921,-87.673567,89.0,83.0
315,Elston Ave & Wabansia Ave,41.912919,-87.664169,8.0,7.0
316,Damen Ave & Sunnyside Ave,41.96325,-87.679258,45.0,47.0
317,Wood St & Taylor St,41.869154,-87.671045,31.0,36.0
318,Southport Ave & Irving Park Rd,41.954177,-87.664358,32.0,36.0
319,Greenview Ave & Diversey Pkwy,41.93258963,-87.66593635,65.0,80.0
320,Loomis St & Lexington St,41.872187,-87.661501,13.0,18.0
321,Wabash Ave & 9th St,41.870769,-87.625734,22.0,30.0
322,Kimbark Ave & 53rd St,41.799568,-87.594747,59.0,67.0
323,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,93.0,95.0
324,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,69.0,60.0
325,Clark St & Winnemac Ave,41.97334,-87.66778,58.0,55.0
326,Clark St & Leland Ave,41.967096,-87.667429,65.0,82.0
327,Sheffield Ave & Webster Ave,41.92154,-87.653818,55.0,61.0
328,Ellis Ave & 58th St,41.788746,-87.601334,20.0,28.0
329,Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427,28.0,22.0
330,Lincoln Ave & Addison St,41.946176,-87.673308,48.0,52.0
331,Halsted St & Clybourn Ave,41.909668,-87.648128,21.0,20.0
332,Burling St (Halsted) & Diversey Pkwy (Temp),41.93314,-87.64776,19.0,16.0
333,Ashland Ave & Blackhawk St,41.907066,-87.667252,27.0,28.0
334,Lake Shore Dr & Belmont Ave,41.940775,-87.639192,17.0,13.0
335,Calumet Ave & 35th St,41.831379,-87.618034,38.0,39.0
336,Cottage Grove Ave & 47th St,41.809855,-87.606755,103.0,125.0
337,Clark St & Chicago Ave,41.89675,-87.63089,7.0,9.0
338,Calumet Ave & 18th St,41.857611,-87.619407,13.0,18.0
339,Emerald Ave & 31st St,41.838198,-87.645143,12.0,14.0
340,Clark St & Wrightwood Ave,41.929546,-87.643118,35.0,27.0
341,Adler Planetarium,41.866095,-87.607267,20.0,21.0
342,Wolcott Ave & Polk St,41.871262,-87.673688,24.0,24.0
343,Racine Ave & Wrightwood Ave,41.928887,-87.658971,58.0,60.0
344,Ravenswood Ave & Lawrence Ave,41.96909,-87.674237,63.0,76.0
345,Lake Park Ave & 56th St,41.793242,-87.587782,30.0,30.0
346,Ada St & Washington Blvd,41.88283,-87.661206,21.0,26.0
347,Ashland Ave & Grace St,41.950687,-87.6687,53.0,55.0
348,California Ave & 21st St,41.85380407,-87.6957424,44.0,47.0
349,Halsted St & Wrightwood Ave,41.929143,-87.649077,36.0,41.0
350,Ashland Ave & Chicago Ave,41.895966,-87.667747,70.0,63.0
351,Cottage Grove Ave & 51st St,41.803038,-87.606615,24.0,24.0
352,Jeffery Blvd & 67th St,41.77351755,-87.57714283,83.0,84.0
353,Clark St & Touhy Ave,42.01256012,-87.67436712,9.0,10.0
354,Sheridan Rd & Greenleaf Ave,42.01058656,-87.66241209,88.0,96.0
355,South Shore Dr & 67th St,41.773643,-87.567514,51.0,53.0
356,Stony Island Ave & 71st St,41.76649294,-87.58646088,40.0,41.0
359,Larrabee St & Division St,41.90348607,-87.64335349,73.0,73.0
364,Larrabee St & Oak St,41.90021949,-87.64298547,6.0,4.0
365,Halsted St & North Branch St,41.89936844,-87.64847988,3.0,5.0
366,Loomis St & Archer Ave,41.84163254,-87.65743495,44.0,48.0
367,Racine Ave & 35th St,41.83069611,-87.65597591,51.0,50.0
368,Ashland Ave & Archer Ave,41.83920868,-87.66560986,18.0,17.0
369,Wood St & 35th St,41.83010465,-87.67029831,56.0,73.0
370,Calumet Ave & 21st St,41.85418425,-87.61915374,99.0,92.0
373,Kedzie Ave & Chicago Ave,41.8954653,-87.70612788,40.0,40.0
374,Western Ave & Walton St,41.89841769,-87.68659602,28.0,30.0
375,Sacramento Blvd & Franklin Blvd,41.89046879,-87.70260751,75.0,72.0
376,Artesian Ave & Hubbard St,41.88949182,-87.68821936,24.0,24.0
377,Kedzie Ave & Lake St,41.88460329,-87.70630374,47.0,45.0
378,California Ave & Lake St,41.88445396,-87.69629814,19.0,18.0
381,Western Ave & Monroe St,41.87978771,-87.68611281,2.0,2.0
382,Western Ave & Congress Pkwy,41.87474885,-87.68644528,56.0,49.0
383,Paulina St & Flournoy St,41.87295,-87.66913,40.0,25.0
384,Halsted St & 51st St,41.80183164,-87.6452139,3.0,6.0
385,Princeton Ave & Garfield Blvd,41.794982,-87.633124,1.0,3.0
386,Halsted St & 56th St,41.79292965,-87.64499006,1.0,1.0
388,Halsted St & 63rd St,41.77938114,-87.64462081,3.0,6.0
390,Wentworth Ave & 63rd St,41.78007963,-87.62974631,2.0,1.0
391,Halsted St & 69th St,41.76906172,-87.64461358,0.0,0.0
392,Perry Ave & 69th St,41.76929309,-87.62819593,0.0,0.0
393,Calumet Ave & 71st St,41.76550801,-87.61691793,0.0,0.0
394,Clark St & 9th St (AMLI),41.870816,-87.631246,34.0,40.0
395,Jeffery Blvd & 76th St,41.75712007,-87.57583936,0.0,0.0
396,Yates Blvd & 75th St,41.758768,-87.56644,0.0,0.0
398,Rainbow Beach,41.75787145,-87.54938625,0.0,0.0
399,South Shore Dr & 74th St,41.76218896,-87.55927465,0.0,0.0
400,Cottage Grove Ave & 71st St,41.76571904,-87.60495971,46.0,33.0
401,Shields Ave & 28th Pl,41.842733,-87.635491,5.0,5.0
402,Shields Ave & 31st St,41.838464,-87.635406,5.0,6.0
403,Wentworth Ave & 33rd St,41.83452989,-87.63182298,4.0,5.0
405,Wentworth Ave & 35th St,41.830777,-87.632504,3.0,3.0
406,Lake Park Ave & 35th St,41.83127424,-87.60879919,3.0,3.0
407,State St & Pershing Rd,41.82301524,-87.62656802,22.0,23.0
408,Union Ave & Root St,41.819102,-87.643278,0.0,0.0
409,Shields Ave & 43rd St,41.81620768,-87.63481935,0.0,0.0
410,Prairie Ave & 43rd St,41.81665889,-87.61941246,5.0,3.0
411,Halsted St & 47th Pl,41.80813391,-87.64561655,29.0,28.0
412,Princeton Ave & 47th St,41.80931771,-87.63344929,1.0,1.0
413,Woodlawn Ave & Lake Park Ave,41.81409271,-87.59700515,41.0,19.0
414,Canal St & Taylor St,41.870257,-87.639474,3.0,3.0
415,Calumet Ave & 51st St,41.80229465,-87.61805358,5.0,5.0
416,Dorchester Ave & 49th St,41.805772,-87.592464,0.0,0.0
417,Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,0.0,0.0
418,Ellis Ave & 53rd St,41.79933626,-87.60095811,6.0,7.0
419,Lake Park Ave & 53rd St,41.79949429,-87.5864499,16.0,13.0
420,Ellis Ave & 55th St,41.79430062,-87.60144977,37.0,36.0
421,MLK Jr Dr & 56th St,41.79342946,-87.61585326,0.0,0.0
422,DuSable Museum,41.79156801,-87.60785218,3.0,4.0
423,University Ave & 57th St,41.791478,-87.599861,4.0,4.0
424,Museum of Science and Industry,41.79172821,-87.58394501,0.0,0.0
425,Harper Ave & 59th St,41.78794281,-87.58831517,6.0,6.0
