drop_off_intersection,count
3049.0,2541
3147.0,1140
3174.0,2524
3428.0,300
3446.0,2002
3468.0,992
3569.0,146
3574.0,486
3728.0,1581
3809.0,1304
77.0,11951
92.0,20464
172.0,34845
258.0,17191
640.0,8276
652.0,13270
796.0,74611
829.0,11943
951.0,28250
1084.0,18205
1366.0,250486
1373.0,140777
1604.0,24969
1721.0,55906
1759.0,100514
1900.0,134583
2034.0,20176
2122.0,38809
2176.0,122410
2205.0,45669
2215.0,10304
2261.0,73419
2331.0,124383
2857.0,1734
2872.0,56315
2911.0,4145
2936.0,4344
3001.0,115710
3314.0,2398
3355.0,2159
3366.0,8485
3595.0,1540
3670.0,4046
3886.0,5
3955.0,2657
4027.0,39
4035.0,981
195.0,6947
243.0,20696
292.0,4269
412.0,17976
490.0,8432
525.0,25569
675.0,80545
759.0,874
900.0,10238
928.0,30749
1257.0,249843
1512.0,4526
1630.0,69272
1728.0,61477
1870.0,905
1953.0,4455
1975.0,23196
2132.0,3572
2227.0,6105
2262.0,1335
2266.0,24485
2304.0,35198
2396.0,34644
2432.0,96601
2457.0,15328
2487.0,8398
2656.0,55185
2706.0,116075
3176.0,3851
3300.0,13387
3434.0,4788
3448.0,1700
3491.0,2987
3591.0,1625
3654.0,14897
3901.0,227
3912.0,1958
3958.0,928
90.0,2164
211.0,18860
259.0,45135
285.0,13955
321.0,22388
352.0,17569
473.0,30121
492.0,45631
673.0,13322
687.0,74028
732.0,33597
953.0,1795
954.0,8080
1040.0,77547
1070.0,3968
1313.0,22570
1319.0,88771
1322.0,22170
1336.0,155377
1480.0,56285
1554.0,48785
1564.0,26990
1836.0,7116
1866.0,22689
1879.0,13513
2085.0,64095
2201.0,81386
2243.0,4775
2371.0,9473
2670.0,814
2705.0,114788
2752.0,55287
2910.0,76655
3263.0,3846
3303.0,4454
3360.0,6327
3461.0,6043
3486.0,1484
3492.0,16178
3493.0,10960
3656.0,530
3695.0,970
3768.0,120
3791.0,1147
3866.0,1480
3885.0,359
3949.0,445
2.0,14876
223.0,3443
291.0,21406
348.0,25503
501.0,86045
590.0,6363
857.0,84332
1057.0,35574
1179.0,187203
1269.0,7720
1344.0,64443
1351.0,117143
1449.0,62363
1532.0,55057
1578.0,92624
1590.0,53426
1592.0,44844
1615.0,121012
1665.0,131133
1678.0,189208
1972.0,13722
1976.0,56504
1987.0,1803
2115.0,138277
2287.0,5604
2291.0,43485
2319.0,52699
2594.0,1761
2661.0,37667
2675.0,5961
2679.0,575
2756.0,179731
2806.0,2081
3037.0,968
3054.0,2364
3202.0,4386
3456.0,275
3542.0,1116
4026.0,1668
4032.0,49
202.0,4296
532.0,19990
660.0,11696
1212.0,73343
1312.0,609
1588.0,30142
1638.0,27715
1644.0,113435
1682.0,127208
1775.0,20916
1880.0,107626
1990.0,113545
2160.0,10802
2239.0,104112
2336.0,28802
2358.0,3432
2364.0,99449
2541.0,247
2724.0,8388
2850.0,40684
2986.0,1693
3132.0,6714
3181.0,1740
3297.0,1123
3541.0,458
3679.0,258
3959.0,905
4018.0,488
42.0,24477
248.0,8891
533.0,3237
573.0,13301
605.0,57826
699.0,15641
799.0,19468
938.0,131475
1047.0,23280
1062.0,61752
1173.0,99631
1229.0,118624
1372.0,76433
1416.0,5977
1749.0,65505
1942.0,153929
1999.0,182446
2038.0,194816
2111.0,63787
2178.0,1833
2264.0,40646
2269.0,27551
2355.0,45432
2685.0,2443
2733.0,7283
2786.0,7576
3108.0,3638
3219.0,7917
3393.0,6070
3410.0,1326
3525.0,2018
3529.0,2651
3584.0,4099
3652.0,553
4030.0,1510
4033.0,877
160.0,16648
220.0,24236
287.0,12223
333.0,17105
460.0,46786
686.0,29917
762.0,20637
898.0,39684
961.0,17243
1196.0,29252
1198.0,22847
1262.0,88182
1453.0,112180
1643.0,110755
1650.0,44511
1669.0,74870
1736.0,74318
1776.0,41634
1907.0,118211
1917.0,1280
1982.0,632
2033.0,109006
2274.0,159772
2306.0,119297
2436.0,44313
2691.0,3563
2736.0,70582
2886.0,23118
2908.0,2954
3030.0,7792
3035.0,3368
3077.0,584
3084.0,67071
3105.0,10762
3143.0,6425
3222.0,198
3342.0,48
3361.0,989
3413.0,3100
3582.0,1088
3599.0,4246
3698.0,1494
3872.0,102
3887.0,3379
3951.0,3547
3973.0,838
3984.0,1064
354.0,13469
630.0,16981
744.0,112781
855.0,78980
896.0,53770
1281.0,111502
1411.0,3579
1591.0,3695
1616.0,62124
1656.0,5213
1760.0,70487
1843.0,37916
1944.0,1135
2082.0,58054
2175.0,7262
2265.0,12089
2345.0,44130
2389.0,90027
2621.0,17187
2638.0,29779
2788.0,40404
2813.0,189
2925.0,5908
3160.0,72004
3249.0,1776
3347.0,1425
3540.0,3355
3558.0,1961
3647.0,488
3676.0,876
3744.0,178
3838.0,12419
3852.0,1548
4084.0,2475
37.0,24168
108.0,1484
134.0,9429
255.0,22877
283.0,120687
328.0,7200
704.0,10110
861.0,20236
874.0,27138
889.0,29716
937.0,29821
1077.0,205115
1083.0,14248
1105.0,19583
1210.0,5869
1251.0,70582
1280.0,38123
1497.0,110556
1500.0,9190
1620.0,43773
1708.0,20871
1777.0,45666
1835.0,84757
1882.0,66311
2021.0,51590
2117.0,8231
2136.0,25448
2137.0,136192
2479.0,3212
2576.0,75883
2664.0,90684
2787.0,1376
2892.0,4118
3002.0,7301
3180.0,4093
3285.0,2515
3458.0,2674
3557.0,8644
3632.0,1195
3832.0,2283
3946.0,1832
104.0,46641
135.0,3699
203.0,56501
382.0,32541
401.0,22014
531.0,9678
740.0,11703
863.0,39315
870.0,65590
936.0,70694
1103.0,8757
1298.0,347
1420.0,33615
1824.0,749
1848.0,42465
2040.0,79634
2126.0,39072
2206.0,126317
2295.0,7837
2383.0,50202
2394.0,27592
2490.0,19117
2775.0,1188
2828.0,470
2943.0,87204
2964.0,4353
3151.0,4346
3179.0,77641
3201.0,7763
3330.0,904
3655.0,1805
3989.0,687
4008.0,5216
216.0,33593
307.0,25217
380.0,12329
405.0,11735
516.0,8021
535.0,78050
592.0,22714
649.0,37415
820.0,34702
868.0,31430
943.0,96173
1205.0,77342
1302.0,92369
1324.0,82389
1429.0,47256
1780.0,68139
1939.0,43916
1985.0,45376
1991.0,47530
1996.0,25820
2054.0,22373
2297.0,2251
2313.0,23203
2456.0,3790
2632.0,1625
2718.0,74304
2737.0,32576
2844.0,5997
2909.0,6031
3008.0,94370
3014.0,6019
3140.0,730
3488.0,1147
3659.0,4070
3777.0,1878
3811.0,3221
3846.0,3351
50.0,3061
137.0,27665
214.0,11314
304.0,50839
370.0,24057
445.0,12227
770.0,164774
800.0,70737
853.0,90137
933.0,40871
977.0,16360
1184.0,49847
1238.0,73633
1270.0,13016
1482.0,35211
1498.0,123007
1507.0,51668
1569.0,30610
1854.0,52537
1872.0,93902
1970.0,26309
2056.0,34542
2174.0,2199
2293.0,3644
2366.0,21838
2400.0,30817
2768.0,107116
2968.0,2891
3086.0,2146
3188.0,1692
3218.0,40010
3370.0,3313
3380.0,1112
3490.0,717
3551.0,48
3586.0,9563
3707.0,940
3759.0,315
3841.0,311
3917.0,1051
3934.0,1547
3994.0,3398
150.0,9160
152.0,96677
189.0,15931
222.0,26097
313.0,19644
362.0,13907
411.0,51474
479.0,63467
536.0,28829
542.0,90371
723.0,51818
795.0,3954
802.0,91368
852.0,62927
890.0,20182
897.0,63602
1138.0,64233
1290.0,19936
1293.0,71776
1410.0,85265
1561.0,19331
1627.0,89819
1658.0,56599
1889.0,164551
1998.0,18070
2068.0,989
2191.0,2072
2249.0,58412
2360.0,34385
2483.0,40984
2859.0,110724
2877.0,3391
2901.0,5850
3172.0,1864
3190.0,14612
3208.0,6226
3225.0,1171
3329.0,5234
3369.0,1992
3622.0,3993
3649.0,5339
3669.0,34265
3711.0,871
3780.0,112
3962.0,1720
3967.0,969
4069.0,767
74.0,4633
127.0,37200
141.0,2702
173.0,17848
272.0,7981
280.0,48638
317.0,22065
374.0,31087
407.0,37834
794.0,16994
1000.0,18709
1001.0,29428
1134.0,91490
1321.0,71934
1523.0,80180
1527.0,102048
1547.0,63187
1758.0,53511
1818.0,217493
1832.0,81758
1888.0,4365
2050.0,15132
2051.0,8742
2183.0,61603
2292.0,3288
2328.0,19989
2409.0,27794
2426.0,56991
2518.0,101195
2532.0,56292
2584.0,25656
2644.0,16575
2782.0,4109
2917.0,7869
3006.0,5430
3079.0,9401
3134.0,38714
3200.0,51987
3235.0,7979
3371.0,4275
3382.0,2609
3418.0,703
3640.0,1753
3643.0,592
3667.0,1683
3681.0,8466
3858.0,566
4031.0,362
24.0,17626
170.0,27589
244.0,6045
400.0,13861
475.0,20032
595.0,26825
643.0,66901
745.0,68826
797.0,2807
821.0,97496
969.0,52435
1003.0,1456
1091.0,25002
1399.0,47498
1431.0,134054
2005.0,1094
2029.0,22343
2241.0,19067
2256.0,5302
2284.0,16953
2452.0,79551
2681.0,78009
2808.0,774
2883.0,2712
2922.0,36897
2974.0,7291
3042.0,11578
3209.0,3597
3250.0,8747
3256.0,1500
3334.0,86
3519.0,4348
3735.0,1005
3944.0,365
3971.0,2908
3990.0,2357
46.0,3632
72.0,35243
133.0,58762
234.0,22680
254.0,27251
375.0,14423
483.0,61562
1153.0,17824
1204.0,190535
1335.0,73192
1414.0,97923
1456.0,66563
1508.0,47382
1518.0,83476
1530.0,17959
1603.0,38536
1626.0,86125
1713.0,79866
1766.0,13231
1778.0,381
1809.0,15534
1817.0,25385
1912.0,12213
1950.0,31351
2069.0,107256
2181.0,31697
2252.0,37434
2343.0,102652
2501.0,32987
2591.0,4160
2592.0,9235
2625.0,95341
2955.0,8089
2996.0,7847
3022.0,92622
3085.0,5665
3210.0,850
3316.0,741
3476.0,3908
3581.0,821
3751.0,857
3774.0,1850
3907.0,5273
3960.0,2807
4021.0,145
4048.0,104
35.0,6583
102.0,10513
153.0,12997
262.0,55247
349.0,17714
372.0,47876
506.0,4030
554.0,10493
621.0,6447
712.0,24522
822.0,24182
944.0,1245
1369.0,127546
1377.0,25072
1528.0,1624
1619.0,11152
1795.0,2830
1886.0,18446
2007.0,127592
2047.0,161537
2141.0,10573
2151.0,20241
2533.0,10728
2539.0,84550
2566.0,4178
2593.0,593
2677.0,35058
2797.0,35249
2814.0,45238
2823.0,4070
2847.0,3659
2881.0,3240
2882.0,16792
3282.0,316
3328.0,29849
3441.0,3623
3479.0,76
3571.0,4340
3611.0,9389
3727.0,1173
3865.0,126
3933.0,4140
4068.0,170
4071.0,1845
128.0,7089
263.0,35611
393.0,16545
522.0,19694
550.0,25638
628.0,90543
903.0,5742
918.0,9938
984.0,34675
1124.0,346637
1248.0,52971
1268.0,108556
1303.0,146011
1338.0,25118
1380.0,128057
1400.0,124984
1421.0,16824
1521.0,5424
1613.0,80310
1648.0,161582
1683.0,21797
1692.0,66235
1739.0,14400
1781.0,140080
1784.0,86372
2104.0,86971
2240.0,6466
2524.0,123
2548.0,17045
2663.0,1799
2822.0,124923
3159.0,39528
3167.0,2000
3193.0,1684
3362.0,6723
3426.0,193
3738.0,1184
4042.0,540
4057.0,151
4060.0,62
6.0,11258
159.0,21614
201.0,8154
264.0,30875
487.0,118175
539.0,48118
570.0,20319
743.0,8746
827.0,67156
1087.0,17614
1119.0,13103
1149.0,63193
1167.0,91942
1211.0,13501
1355.0,46134
1514.0,58312
1609.0,35056
1706.0,63663
1709.0,41855
2025.0,211513
2290.0,23902
2520.0,92697
3114.0,1425
3302.0,14227
3337.0,2089
3368.0,26441
3543.0,4511
3565.0,3826
3587.0,2803
3792.0,276
3871.0,742
3913.0,1155
4052.0,171
428.0,2592
484.0,62126
567.0,10859
598.0,28218
705.0,111277
748.0,52508
781.0,112159
1121.0,89355
1142.0,93292
1368.0,146388
1422.0,161506
1594.0,48587
1804.0,114980
1812.0,2470
1927.0,55927
1934.0,24065
1973.0,1296
2000.0,161362
2320.0,8823
2369.0,7813
2378.0,47896
2401.0,35361
2639.0,22975
2700.0,7109
2701.0,382
2765.0,3347
2815.0,83774
2944.0,19933
3205.0,1183
3304.0,3842
3617.0,1656
3678.0,1134
3706.0,716
3844.0,1473
3929.0,733
3931.0,3843
4061.0,166
110.0,53909
187.0,13594
204.0,6450
309.0,11336
689.0,6717
698.0,40764
707.0,59301
727.0,3642
766.0,16412
778.0,30703
864.0,12022
1035.0,738
1073.0,5953
1080.0,75022
1304.0,5458
1332.0,85422
1361.0,11652
1511.0,20246
1652.0,5105
1691.0,86691
2035.0,10660
2062.0,69598
2294.0,29129
2468.0,23839
2606.0,15270
2622.0,104152
2683.0,78907
2694.0,6737
2770.0,105558
2864.0,36046
2874.0,2332
3017.0,6263
3101.0,1127
3144.0,516
3475.0,3997
3645.0,799
3730.0,159
3752.0,1788
3810.0,2113
4004.0,1520
4036.0,3081
45.0,12644
413.0,26299
946.0,66025
980.0,119615
1025.0,162641
1045.0,71229
1147.0,68599
1225.0,31167
1504.0,1428
1570.0,48693
1725.0,43694
1741.0,53172
1874.0,108923
2231.0,41477
2377.0,62320
2416.0,33403
3237.0,1324
3332.0,144
3356.0,660
3806.0,3051
3870.0,812
3900.0,574
3986.0,640
396.0,14487
404.0,93204
547.0,9503
654.0,52746
739.0,10825
807.0,9848
1172.0,56445
1608.0,20294
1840.0,288576
1885.0,475
1911.0,173133
1941.0,10201
2125.0,81539
2169.0,51266
2226.0,23391
2282.0,9784
2285.0,106160
2370.0,82712
2516.0,64755
2527.0,289
2599.0,12269
2635.0,114862
2653.0,4227
2832.0,43740
2976.0,1382
3216.0,2597
3307.0,2241
3472.0,316
3627.0,807
3641.0,1178
143.0,14228
158.0,37394
253.0,21379
275.0,38012
443.0,21340
603.0,7638
808.0,39954
947.0,21223
988.0,83281
1143.0,17436
1299.0,175814
1425.0,1658
1576.0,70110
1632.0,9140
1647.0,56238
1768.0,122139
1819.0,219522
1837.0,48018
1903.0,51895
1980.0,4401
2048.0,108276
2112.0,96177
2438.0,47430
2476.0,44415
2536.0,31657
2713.0,3334
2744.0,13203
2836.0,3716
2905.0,41585
2930.0,10452
3048.0,5493
3178.0,6682
3333.0,2755
3460.0,6560
3494.0,9904
3665.0,1247
3985.0,1777
31.0,35275
325.0,30729
388.0,76363
425.0,15699
446.0,30656
517.0,40789
650.0,77440
735.0,26798
968.0,344
1033.0,6206
1079.0,15707
1199.0,74222
1254.0,40137
1255.0,81820
1300.0,1876
1308.0,97485
1393.0,179830
1413.0,6471
1424.0,194374
1461.0,4020
1586.0,41711
1617.0,6417
1629.0,197115
1802.0,63764
1916.0,2648
1959.0,45271
2017.0,55948
2037.0,13376
2107.0,15993
2470.0,37026
2565.0,8261
2589.0,32852
2674.0,5614
2725.0,1006
2796.0,11579
2885.0,1494
2916.0,18375
2945.0,5943
2960.0,16485
2983.0,5077
3127.0,1291
3175.0,1424
3421.0,2854
3438.0,3512
3453.0,3354
3501.0,5362
3546.0,826
3630.0,719
3743.0,8324
3882.0,729
